Name,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,% White,% Black,% Hispanic,% Asian,% American Indian,Average Cost,Average Faculty Salary,% Undergrads with Pell Grant,Completion Rate,% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Average Age of Entry,Median Family Income,Poverty Rate,Median Earnings 8 years After Entry
Eastern Oregon University,Public,Far West,Remote Town,0.67,,935,3422,0.7916,0.0286,0.0634,0.0222,0.0248,18959,6057,0.5105,0.2325,0.4875,8.4,14820,25.95999908,38491,8.930000305,35100
Eastern University,Private,Mid-Atlantic,Large Suburb,0.6409,21,1041,2458,0.5395,0.2111,0.1513,0.0199,0.0053,39764,6289,0.4091,0.5466,0.2979,8.9,20927,24.75,70417,7.650000095,37900
Eastern Washington University,Public,Far West,Fringe Town,0.7967,21,970,11672,0.6625,0.0351,0.1192,0.0298,0.0118,19831,7287,0.3871,0.4524,0.2113,6.3,15265,22.86000061,43755.5,8.899999619,37700
Eckerd College,Private,Southeast,Mid-size City,0.7104,26,1138,2163,0.7614,0.0559,0.0791,0.0148,0.006,49802,7433,0.2341,0.6617,0.1859,9.4,23000,24.62000084,71700,6.139999866,36000
Edgewood College,Private,Great Lakes,Mid-size City,0.7656,23,1050,1914,0.803,0.0287,0.0538,0.0204,0.0037,35645,5576,0.3353,0.5662,0.2222,4.2,20568,22.5,63152,4.170000076,40300
Edinboro University of Pennsylvania,Public,Mid-Atlantic,Fringe Town,0.8735,20,930,5756,0.8433,0.0711,0.0297,0.0082,0.0019,19886,8925,0.4558,0.4175,0.133,10.5,18750,21.95000076,51587,7.869999886,30900
Elizabeth City State University,Public,Southeast,Distant Town,0.5715,17,849,2276,0.1428,0.7469,0.0066,0.0035,0.0053,10620,7545,0.7029,0.4159,0.1926,22.9,18137,21.97999954,26308,13.51000023,25100
Elizabethtown College,Private,Mid-Atlantic,Large Suburb,0.6957,25,1117,1808,0.88,0.0249,0.031,0.0171,0.0039,47390,8137,0.2175,0.7741,0.0065,3.6,23872.5,21.25,90303,4.610000134,44400
Elmhurst College,Private,Great Lakes,Large Suburb,0.718,24,1084,2819,0.7251,0.0454,0.1281,0.0465,0.0025,41472,7596,0.3198,0.7402,0.1069,2.1,18791.5,22.21999931,67472.5,4.420000076,42700
Elmira College,Private,Mid-Atlantic,Small City,0.7978,24,1060,1315,0.7027,0.035,0.0335,0.0076,0.0053,50608,4676,0.3478,0.6265,0.1094,7.1,21500,20.93000031,73671,6.590000153,37600
Elon University,Private,Southeast,Mid-size Suburb,0.5398,25,1200,5599,0.8162,0.0632,0.0463,0.0191,0.0034,41679,8485,0.0911,0.8165,0.0061,2.4,20500,19.53000069,104953,4.829999924,43600
Embry-Riddle Aeronautical University-Daytona Beach,Private,Southeast,Small City,0.7405,24,1105,4666,0.5332,0.0574,0.0705,0.0463,0.0047,45648,8505,0.3103,0.569,0.1423,4.6,16500,23.22999954,52839,7.300000191,53800
Embry-Riddle Aeronautical University-Prescott,Private,Southwest,Fringe Rural,0.7898,26,1171,1802,0.6016,0.0172,0.0755,0.0494,0.0055,45228,8387,0.2884,0.5915,0.1166,4.6,16500,23.22999954,52839,7.300000191,53800
Embry-Riddle Aeronautical University-Worldwide,Private,Southeast,Small City,0.9944,,,9689,0.4981,0.0791,0.0689,0.0235,0.0053,20932,5326,0.2531,0.5,0.8851,4.6,16500,23.22999954,52839,7.300000191,53800
Emerson College,Private,New England,Large City,0.4798,28,1240,3720,0.6465,0.0296,0.1022,0.0387,0.0005,51158,9204,0.1702,0.8147,0.0194,2.5,21500,19.67000008,94808,5.420000076,38900
Emmanuel College,Private,New England,Large City,0.6049,24,1090,2040,0.701,0.0544,0.0569,0.0299,0.0029,49487,8155,0.2337,0.5808,0.0855,5.6,24250,20.63999939,81534,6.019999981,42200
Emory University,Private,Southeast,Large Suburb,0.2633,31,1363,7705,0.4048,0.0924,0.0623,0.2204,0.0014,58180,12133,0.2192,0.8961,0.031,2.4,19000,21.20000076,64962,6.059999943,56900
Emporia State University,Public,Great Plains,Remote Town,0.6069,22,1030,3724,0.724,0.0569,0.0653,0.0064,0.0035,15612,6268,0.3909,0.4054,0.1727,8.4,14000,21.84000015,54559,6.880000114,33200
Endicott College,Private,New England,Large Suburb,0.7165,23,1070,2621,0.8214,0.021,0.0362,0.0095,0.0023,44177,8415,0.1575,0.7129,0.0892,2.8,23250,19.87000084,109499.5,4.110000134,43800
Evangel University,Private,Great Plains,Mid-size City,0.6425,23,1046,2071,0.705,0.0435,0.0526,0.0145,0.0101,30988,6433,0.4662,0.5291,0.1305,7,16000,21.57999992,58776,7.329999924,32400
Everglades University,Private,Southeast,Small City,0.9104,,,1184,0.6242,0.1385,0.1655,0.016,0.011,27322,2635,0.5563,0.6197,0.7829,13.9,27332,31.95000076,31989,7.980000019,41000
Fairfield University,Private,New England,Large Suburb,0.7116,,,3721,0.7162,0.0271,0.0785,0.0215,0.0011,56628,10214,0.1531,0.8207,0.0604,0.9,24000,19.96999931,116850,4.190000057,60200
Fairleigh Dickinson University-College at Florham,Private,Mid-Atlantic,Large Suburb,0.7774,,1020,2242,0.6021,0.1124,0.1387,0.0375,0.0071,51159,8250,0.3273,0.5423,0.0576,4.3,18750,22.43000031,57373,6.340000153,42700
Fairleigh Dickinson University-Metropolitan Campus,Private,Mid-Atlantic,Large Suburb,0.7341,,985,3915,0.2656,0.139,0.352,0.0462,0.0013,43227,8296,0.2527,0.465,0.2313,4.3,18750,22.43000031,57373,6.340000153,42700
Fairmont State University,Public,Southeast,Distant Town,0.6649,21,965,3856,0.8615,0.0516,0.0184,0.0036,0.0026,14710,6656,0.4803,0.3513,0.2642,17,14210,23.06999969,36183,12.81999969,29400
Farmingdale State College,Public,Mid-Atlantic,Large Suburb,0.5264,21,969,7455,0.6145,0.1057,0.1543,0.0699,0.002,15258,7951,0.2708,0.4574,0.2464,7.6,11000,22.84000015,44234,6.139999866,44200
Fayetteville State University,Public,Southeast,Mid-size City,0.5496,18,851,5077,0.1656,0.6715,0.0605,0.0124,0.0207,13188,8064,0.5873,0.3215,0.4333,13.2,17003.5,23.79000092,26610.5,11.98999977,26700
Felician College,Private,Mid-Atlantic,Large Suburb,0.8819,19,877,1618,0.3838,0.1978,0.2417,0.0797,0.0056,41750,6612,0.4699,0.4592,0.3831,5.8,20834,25.38999939,48610,7.210000038,39800
Ferris State University,Public,Great Lakes,Remote Town,0.759,22,1010,12646,0.7919,0.0744,0.0342,0.0141,0.0062,21498,7942,0.4123,0.4319,0.2387,9.5,17562,21.87000084,59172,6.820000172,38400
Ferrum College,Private,Southeast,Distant Rural,0.7411,17,868,1506,0.5193,0.3187,0.0491,0.0033,0.004,38620,5887,0.5689,0.3181,0.0205,12.8,11250,20.61000061,52888,7.460000038,32400
Fitchburg State University,Public,New England,Mid-size Suburb,0.7211,20,987,4148,0.7635,0.055,0.0875,0.0188,0.001,17686,8371,0.3416,0.5029,0.1736,7.8,15529.5,21.27000046,70609.5,6.090000153,38700
Flagler College-St Augustine,Private,Southeast,Small Suburb,0.4987,23,1096,2839,0.7584,0.0395,0.0814,0.006,0.0039,28305,6087,0.2922,0.6309,0.1011,6,16500,21.80999947,61140,7.170000076,33800
Florida Agricultural and Mechanical University,Public,Southeast,Mid-size City,0.45,20,947,8825,0.031,0.9411,0.0113,0.0071,0.0015,19191,7994,0.6445,0.4094,0.1072,14.7,20750,20.31999969,33649,13.10000038,32300
Florida Atlantic University,Public,Southeast,Small City,0.4773,22,1039,24685,0.4638,0.1871,0.2488,0.0393,0.0015,19131,7962,0.3999,0.4105,0.2812,7.6,12500,23.69000053,32086,8.210000038,37800
Florida Gulf Coast University,Public,Southeast,Large Suburb,0.6579,22,1024,12795,0.6706,0.0717,0.1873,0.0167,0.0023,18097,7382,0.3467,0.4416,0.1352,6.3,11625,22.43000031,46981,6.730000019,37600
Florida Institute of Technology,Private,Southeast,Small City,0.6045,26,1153,3191,0.4253,0.0526,0.0611,0.0185,0.0009,52490,9025,0.2414,0.5437,0.0866,15,8509,20.36000061,73416.5,6.179999828,50500
Florida International University,Public,Southeast,Large Suburb,0.4304,26,1154,38234,0.1007,0.1221,0.6705,0.0269,0.0008,18426,9653,0.5809,0.5161,0.2698,8.9,13750,22.38999939,27626,11.60000038,40500
Florida Memorial University,Private,Southeast,Large Suburb,0.4159,,,1517,0.0046,0.7423,0.0409,0.0013,,25036,6895,0.8975,0.3961,0.1938,23.1,23750,22.02000046,21893.5,17.35000038,23700
Florida Southern College,Private,Southeast,Small City,0.4989,25,1102,2379,0.7243,0.0593,0.0925,0.0164,0.0017,38413,7152,0.3293,0.5816,0.1291,10.9,18375,21.89999962,56919.5,7.349999905,35900
Florida State University,Public,Southeast,Mid-size City,0.5681,27,1212,32086,0.667,0.085,0.1704,0.0251,0.0038,20774,9706,0.3065,0.7688,0.0681,5.8,18750,20.76000023,51372.5,8.899999619,40000
Fontbonne University,Private,Great Plains,Large Suburb,0.6524,23,1070,1242,0.682,0.1731,0.0169,0.0129,0.0016,30833,6008,0.3852,0.4093,0.3712,8.1,25000,27.44000053,45291,8.789999962,38100
Fordham University,Private,Mid-Atlantic,Large City,0.4713,28,1258,8193,0.6133,0.0426,0.1407,0.0882,0.001,56604,12679,0.2042,0.8051,0.0787,4.2,21500,20.09000015,74870,9.079999924,50300
Fort Hays State University,Public,Great Plains,Remote Town,0.8917,21,990,11064,0.5549,0.037,0.0531,0.0064,0.0042,15395,6488,0.2772,0.4471,0.3018,7.4,11606,23.75,48317,7.440000057,34800
Fort Lewis College,Public,Rocky Mountains,Remote Town,0.875,23,1049,3859,0.5729,0.0096,0.0959,0.0052,0.2218,19565,7028,0.3175,0.3662,0.1526,7.2,10500,21.64999962,47128,10.63000011,30300
Fort Valley State University,Public,Southeast,Fringe Town,0.3273,,830,2805,0.0185,0.9708,0.0029,0.0018,0.0004,19801,6189,0.7652,0.3017,0.1484,24.2,19000,21.31999969,30464.5,13.17000008,24000
Framingham State University,Public,New England,Small City,0.5167,22,1040,4255,0.7673,0.0764,0.0921,0.0214,0.0016,21402,7977,0.2829,0.5055,0.1688,6,15522.5,20.76000023,72222.5,4.510000229,40200
Francis Marion University,Public,Southeast,Small Suburb,0.5667,20,938,3380,0.4521,0.4962,0.0115,0.0095,0.0038,19965,7223,0.5603,0.4059,0.0975,11,19250,20.54999924,38222,13.25,30400
Franciscan University of Steubenville,Private,Great Lakes,Small City,0.7607,26,1163,2055,0.8127,0.0049,0.1012,0.0165,0.0019,32761,7306,0.2642,0.7346,0.0417,2.2,20500,20.54000092,82655.5,6.679999828,33100
Franklin and Marshall College,Private,Mid-Atlantic,Small City,0.3931,,,2262,0.6286,0.0451,0.0698,0.0424,0.0009,58518,9332,0.1416,0.8735,0.0044,2.3,23000,19.31999969,113508,5.260000229,47200
Franklin Pierce University,Private,New England,Fringe Rural,0.8472,19,975,1664,0.741,0.0361,0.0541,0.009,0.0018,44410,5299,0.2441,0.4409,0.1616,6.8,15289,22.51000023,68287,5.130000114,33700
Freed-Hardeman University,Private,Southeast,Distant Town,0.9203,24,1098,1290,0.8775,0.0574,0.014,0.0023,0.0031,32814,6154,0.3423,0.5325,0.0347,8.2,19125,20.13999939,64443,9.279999733,33700
Fresno Pacific University,Private,Far West,Large City,0.7844,20,979,2496,0.3842,0.0525,0.4058,0.0405,0.0108,33973,6562,0.5761,0.5412,0.4482,5.9,16802,26.02000046,44931.5,15.25,37600
Friends University,Private,Great Plains,Large City,0.5862,21,977,1568,0.7175,0.1001,0.0402,0.0223,0.0204,33388,6443,0.4511,0.3165,0.44,8.9,20834,27.87000084,45203.5,7.039999962,38300
Frostburg State University,Public,Mid-Atlantic,Small Suburb,0.5945,20,963,4575,0.609,0.2769,0.0457,0.0127,0.0011,19454,6570,0.35,0.4655,0.1125,10.4,16750,20.29000092,68365.5,6.360000134,38500
Furman University,Private,Southeast,Large Suburb,0.6397,28,1237,2777,0.8063,0.0497,0.0342,0.0187,0.0014,55434,8957,0.146,0.8426,0.0372,2.7,20500,19.88999939,93139.5,6.28000021,40200
Gallaudet University,Private,Mid-Atlantic,Large City,0.6558,18,841,1053,0.604,0.1111,0.1387,0.038,0.0038,29852,10183,0.4763,0.4828,0.2451,7.3,12000,22.72999954,26730,8.399999619,26400
Gannon University,Private,Mid-Atlantic,Mid-size City,0.8042,23,1050,2697,0.8098,0.0471,0.0263,0.0152,0.0041,37572,7326,0.3185,0.6508,0.0839,7.5,22068,20.63999939,68879,7.670000076,43100
Gardner-Webb University,Private,Southeast,Distant Town,0.4817,22,1018,2559,0.6835,0.1637,0.0231,0.009,0.0059,35790,6413,0.2372,0.569,0.3433,9.7,17840,25.87000084,46379.5,8.43999958,34400
Geneva College,Private,Mid-Atlantic,Large Suburb,0.6802,23,1070,1532,0.891,0.0646,0.0098,0.0052,0.002,34818,6808,0.3866,0.6695,0.1434,6.6,20593,25.30999947,60823.5,7.900000095,36300
George Fox University,Private,Far West,Fringe Town,0.7528,23,1070,2358,0.704,0.0187,0.0725,0.0373,0.0042,41836,6742,0.364,0.623,0.1426,4.7,18750,22.75,66182,6.590000153,38300
George Mason University,Public,Southeast,Large Suburb,0.6203,26,1155,21324,0.4576,0.0962,0.1167,0.174,0.0016,22332,10524,0.2684,0.667,0.23,1.8,17250,22.03000069,53311,4.010000229,53100
George Washington University,Private,Mid-Atlantic,Large City,0.3308,29,1297,10121,0.6026,0.0653,0.0739,0.0948,0.002,58925,13058,0.1356,0.8083,0.0783,1.4,22723,20.29999924,85746,5.539999962,60100
Georgetown College,Private,Southeast,Fringe Town,0.8219,24,1085,1034,0.7621,0.0957,0.03,0.0087,0.001,42036,5999,0.3432,0.5656,0.0192,4.3,21445,19.73999977,79282.5,9.319999695,35100
Georgetown University,Private,Mid-Atlantic,Large City,0.1697,31,1398,7261,0.5886,0.0638,0.0788,0.0919,0.0014,59900,12851,0.1325,0.9245,0.0597,0.9,17125,21.87000084,60247,6.539999962,76200
Georgia College and State University,Public,Southeast,Distant Town,0.6798,24,1126,5636,0.8518,0.0488,0.0488,0.013,0.0014,23052,6354,0.218,0.6115,0.0374,3.9,16250,20.72999954,72314,7.860000134,36300
Georgia Institute of Technology-Main Campus,Public,Southeast,Large City,0.5493,30,1352,13975,0.553,0.0628,0.065,0.175,0.0013,21980,11230,0.1932,0.8219,0.0437,2.5,20750,20.03000069,82697,6.269999981,65700
Georgia Regents University,Public,Southeast,Mid-size City,0.4103,21,1002,5456,0.5702,0.2582,0.0517,0.0321,0.0048,7715,7938,0.4309,0.2935,0.2713,6.8,6250,,,,
Georgia Southern University,Public,Southeast,Remote Town,0.52,23,1094,17103,0.6328,0.2599,0.04,0.0136,0.0047,21513,6217,0.3753,0.5046,0.0826,8.9,16250,20.59000015,61757,9.619999886,36600
Georgia Southwestern State University,Public,Southeast,Distant Town,0.6803,20,950,2598,0.6124,0.2991,0.0335,0.0123,0.0012,17839,5689,0.4773,0.3582,0.3138,8.7,14500,24,31658.5,14.42000008,31500
Georgia State University,Public,Southeast,Large City,0.5466,23,1060,24128,0.3138,0.397,0.0895,0.1135,0.0017,23124,7149,0.5089,0.5315,0.2258,8.5,17070,22.56999969,38306,7.78000021,37500
Georgian Court University,Private,Mid-Atlantic,Small City,0.779,,900,1398,0.5336,0.1545,0.1187,0.0193,0.0021,38533,8029,0.4274,0.5133,0.1742,2.6,19500,24.06999969,59396,4.860000134,38900
Gettysburg College,Private,Mid-Atlantic,Small City,0.4163,28,1282,2520,0.8175,0.0274,0.0444,0.0143,,55770,9257,0.1404,0.8357,0.0024,2.6,19957,19.34000015,107490,4.550000191,46200
Glenville State College,Public,Southeast,Remote Town,0.7446,19,879,1413,0.7778,0.1706,0.0149,0.0042,,19910,6069,0.4052,0.3534,0.3086,21.7,13282.5,21.13999939,32757,16.04999924,28900
Gonzaga University,Private,Far West,Mid-size City,0.6651,27,1204,4830,0.7375,0.0101,0.0861,0.0387,0.0056,46475,8626,0.1879,0.8228,0.0298,2.3,26035,20.57999992,87057,6.840000153,47900
Gordon College,Private,New England,Large Suburb,0.4133,26,1156,1681,0.7745,0.0333,0.0702,0.0333,0.0024,43140,7783,0.2213,0.707,0.0175,1,23000,19.37000084,88787,4.519999981,36700
Goucher College,Private,Mid-Atlantic,Small City,0.7173,,,1444,0.6842,0.0866,0.0748,0.0319,0.0021,50840,7810,0.2399,0.6792,0.0152,3.5,19500,19.78000069,88524,5.369999886,40200
Grace College and Theological Seminary,Private,Great Lakes,Distant Town,0.7884,23,1050,1286,0.818,0.042,0.0319,0.0109,0.0031,32506,5839,0.3444,0.6053,0.0861,3.7,17675,20.17000008,71611,5.139999866,33800
Graceland University-Lamoni,Private,Great Plains,Remote Rural,0.5018,21,969,1434,0.6471,0.0941,0.0739,0.0105,0.0056,34494,4986,0.3973,0.4704,0.1988,9.2,18089.5,23.28000069,52671.5,8.520000458,33200
Grambling State University,Public,Southeast,Distant Town,0.4363,18,863,4100,0.0124,0.911,0.0105,0.0022,0.0027,20881,5794,0.7346,0.3167,0.173,16.2,23750,20.92000008,23973,18.54000092,24800
Grand Valley State University,Public,Great Lakes,Large Suburb,0.826,24,1090,21137,0.8351,0.054,0.0431,0.0193,0.0042,21512,7816,0.3632,0.695,0.0992,5.1,20898.5,20.79999924,72885.5,5.510000229,36900
Grand View University,Private,Great Plains,Mid-size City,0.9542,21,979,2079,0.7369,0.076,0.0279,0.0317,0.0048,31761,6421,0.4574,0.4795,0.2648,9.1,18500,23.35000038,54502,5.570000172,38900
Greenville College,Private,Great Lakes,Distant Town,0.657,22,1033,1101,0.7593,0.0817,0.0418,0.0091,0.0009,33675,5649,0.3668,0.5049,0.0983,6.7,16568,23.21999931,61294,7.059999943,32400
Grinnell College,Private,Great Plains,Remote Town,0.3506,30,1357,1661,0.5798,0.059,0.0837,0.0753,0.0018,53318,9129,0.2097,0.8568,0.0017,3,10022.5,19.37999916,88440,6.889999866,37600
Guilford College,Private,Southeast,Large City,0.6818,23,1067,2171,0.6214,0.246,0.058,0.0175,0.0041,44255,6361,0.4992,0.5676,0.3875,10.1,18500,27.39999962,36082.5,7.380000114,33400
Gustavus Adolphus College,Private,Great Plains,Fringe Town,0.6322,27,1224,2439,0.8335,0.0226,0.0291,0.039,0.0016,48422,7179,0.2478,0.8228,0.0029,2.3,26000,19.44000053,93107,4.539999962,42400
Gwynedd Mercy University,Private,Mid-Atlantic,Large Suburb,0.6591,19,944,2031,0.61,0.2477,0.0414,0.0463,0.0039,39051,7046,0.3351,0.6598,0.419,7.7,20250,26.02000046,70168,5.940000057,48600
Hamilton College,Private,Mid-Atlantic,Fringe Rural,0.2719,31,1384,1909,0.6249,0.0382,0.077,0.0676,,57420,11159,0.1375,0.9295,0.0067,1.8,15500,19.37000084,99145,7.230000019,52600
Hamline University,Private,Great Plains,Large City,0.6557,24,1106,2108,0.7173,0.0645,0.0602,0.0607,0.0047,43433,6607,0.3852,0.6637,0.0615,4,18250,22.78000069,61451,5.300000191,43100
Hampden-Sydney College,Private,Southeast,Distant Rural,0.5486,25,1113,1070,0.8103,0.0813,0.0224,0.0187,0.0056,49139,7887,0.1991,0.6216,0.0047,5,19500,19.47999954,105824,6.25,42500
Hampshire College,Private,New England,Large Suburb,0.6369,,,1468,0.6723,0.0245,0.0933,0.0211,0.0014,57765,9033,0.217,0.6607,0.0328,3.2,16250,19.60000038,88959,6.449999809,25100
Hampton University,Private,Southeast,Mid-size City,0.3605,21,990,3529,0.0315,0.932,0.0113,0.0096,0.0011,32358,7455,0.3912,0.6751,0.1072,9.7,22870,21,55050,9.569999695,38000
Hanover College,Private,Great Lakes,Distant Town,0.6673,26,1130,1159,0.8223,0.0449,0.0242,0.0104,0.0043,42198,7847,0.3482,0.7186,0.0034,5,22225,19.56999969,82681,5.730000019,37300
Harding University,Private,Southeast,Distant Town,0.7628,25,1139,4428,0.8347,0.0379,0.0294,0.0068,0.0079,25475,7082,0.2631,0.6219,0.058,4.4,19801.5,20.59000015,76594,7.900000095,35500
Hardin-Simmons University,Private,Southwest,Mid-size City,0.3759,23,1035,1690,0.7243,0.0669,0.1485,0.0083,0.0024,32001,6653,0.3379,0.514,0.0982,9.1,16137,20.94000053,60884,8.720000267,36700
Hartwick College,Private,Mid-Atlantic,Remote Town,0.8424,25,1126,1607,0.6889,0.0635,0.0572,0.0162,0.0081,48699,8002,0.3228,0.5708,0.0284,5.2,19500,19.52000046,77126,7.170000076,37300
Harvard University,Private,New England,Mid-size City,0.0584,34,1501,7278,0.4624,0.0653,0.0933,0.1777,0.0022,57950,17861,0.1016,0.9747,0.2342,1.9,7500,23.64999962,33323.5,7.769999981,77600
Hastings College,Private,Great Plains,Distant Town,0.7364,24,1083,1060,0.8462,0.0292,0.0519,0.016,0.0066,35673,6292,0.3124,0.5762,0.0286,4.8,20500,19.84000015,72062,6.079999924,38500
Haverford College,Private,Mid-Atlantic,Large Suburb,0.2349,32,1400,1187,0.658,0.064,0.0775,0.0716,0.0025,59654,10341,0.1502,0.9333,0.0008,3.3,13399,19.31999969,89312.5,7.110000134,46000
Hawaii Pacific University,Private,Far West,Large City,0.6411,22,1005,5386,0.2824,0.052,0.1326,0.1742,0.0043,29762,8603,0.257,0.3961,0.4269,4.4,16250,23.52000046,41600,6.96999979,42100
Henderson State University,Public,Southeast,Distant Town,0.6221,22,1011,3190,0.6583,0.2367,0.0348,0.0066,0.0025,18033,5606,0.5296,0.2854,0.171,15.4,10443,22.09000015,32258,12.10999966,32300
Hendrix College,Private,Southeast,Small City,0.8039,29,1267,1428,0.7143,0.0448,0.0469,0.0518,0.0217,50172,7233,0.1792,0.6959,0.0056,6.6,19500,19.47999954,80333,8.050000191,36100
High Point University,Private,Southeast,Mid-size City,0.6418,24,1087,3996,0.8418,0.0571,0.0305,0.012,0.0148,42300,6894,0.1264,0.6176,0.0175,9.4,18250,24.95999908,47907.5,7.300000191,34900
Hiram College,Private,Great Lakes,Fringe Town,0.5736,22,1030,1260,0.7079,0.1365,0.0357,0.0127,0.0008,42672,5420,0.4107,0.6456,0.1777,9.8,21333.5,23.19000053,63023.5,6.639999866,35300
Hobart William Smith Colleges,Private,Mid-Atlantic,Distant Town,0.4944,,,2311,0.691,0.0415,0.0584,0.0242,0.0078,57699,9360,0.1846,0.79,0.0165,2.4,26500,19.37999916,95616.5,6.989999771,43800
Hodges University,Private,Southeast,Large Suburb,0.8281,,,1864,0.4372,0.1642,0.3471,0.0172,0.0086,23659,5132,0.7107,0.3,0.6942,14.2,14900,30.37999916,27787,7.949999809,36400
Hofstra University,Private,Mid-Atlantic,Large Suburb,0.5871,26,1165,6748,0.5871,0.086,0.127,0.0788,0.0024,49604,12848,0.2257,0.6212,0.0511,5.2,19150,20.42000008,74751,5.659999847,45900
Holy Family University,Private,Mid-Atlantic,Large City,0.7585,19,933,2018,0.5565,0.0728,0.0629,0.0411,0.0015,31949,6991,0.3558,0.5461,0.2796,4.4,22498.5,23.85000038,58483.5,8.5,46800
Hood College,Private,Mid-Atlantic,Small City,0.8102,22,1030,1347,0.66,0.1188,0.078,0.0319,0.0022,45230,7078,0.3424,0.6644,0.121,4.9,22375,21.37000084,72812,4.559999943,40000
Hope College,Private,Great Lakes,Small City,0.7253,27,1204,3296,0.8535,0.0225,0.0671,0.0164,0.0009,38593,7591,0.204,0.7814,0.0153,3.5,25000,19.45000076,91493,4.550000191,39700
Houghton College,Private,Mid-Atlantic,Remote Rural,0.9108,25,1113,1047,0.85,0.0258,0.0181,0.0115,0.0029,38352,4007,0.3758,0.7386,0.0981,2.4,19000,23.07999992,62241.5,7.349999905,35800
Houston Baptist University,Private,Southwest,Large City,0.7318,24,1075,2165,0.2776,0.1921,0.2605,0.1275,0.0037,36095,6504,0.4868,0.4388,0.1041,9,12500,23.21999931,34306,9.010000229,41700
Howard Payne University,Private,Southwest,Remote Town,0.5382,20,953,1059,0.6516,0.0944,0.1974,0.0028,0.0028,32861,5553,0.4253,0.4196,0.0927,16.3,12275,21.94000053,46720,10.60000038,33300
Howard University,Private,Mid-Atlantic,Large City,0.493,24,1081,6855,0.0134,0.9183,0.0036,0.013,0.0197,40129,8566,0.4494,0.6065,0.086,11.6,24250,20.96999931,47531,10.55000019,42400
Humboldt State University,Public,Far West,Remote Town,0.8018,21,1008,7748,0.5021,0.036,0.2657,0.0329,0.0107,23113,8148,0.5162,0.4004,0.1788,11.8,15000,22.87999916,26935.5,10.92000008,30400
Huntingdon College,Private,Southeast,Mid-size City,0.6279,22,999,1100,0.5845,0.1918,0.02,0.0091,0.0064,31433,6027,0.4302,0.4319,0.1937,10.5,16850,22.90999985,54275.5,10.60999966,33000
Huntington University,Private,Great Lakes,Distant Town,0.9732,24,1054,1030,0.8816,0.0204,0.034,0.0049,0.0029,34764,5945,0.346,0.623,0.1178,5.4,21875,21.54999924,72496.5,4.710000038,31900
Husson University,Private,New England,Small City,0.7989,19,962,2290,0.8808,0.0362,0.0135,0.0052,0.007,25019,6539,0.2796,0.4654,0.2332,9.7,21329,22.20000076,46670,8.800000191,34600
Illinois Institute of Technology,Private,Great Lakes,Large City,0.5697,28,1252,2855,0.373,0.0683,0.1471,0.1082,0.0042,48940,11256,0.3167,0.625,0.1459,3.1,22015,21.44000053,55985.5,6.590000153,61700
Illinois State University,Public,Great Lakes,Mid-size Suburb,0.6892,24,1110,17667,0.7969,0.0714,0.0771,0.02,0.0018,25416,7665,0.2557,0.7162,0.0615,4,18750,20.45999908,82019,5.019999981,40600
Illinois Wesleyan University,Private,Great Lakes,Small City,0.5838,28,1241,2000,0.738,0.046,0.063,0.046,0.003,48522,7853,0.1878,0.7807,0.006,3.8,25000,19.38999939,103114.5,4.449999809,48500
Immaculata University,Private,Mid-Atlantic,Large Suburb,0.7964,20,943,2452,0.7157,0.1692,0.0465,0.0253,0.0016,45011,5130,0.2234,0.4828,0.5414,6.1,22000,26.77000046,62480,5.889999866,47000
Indiana Institute of Technology,Private,Great Lakes,Large City,0.7225,20,934,5670,0.4776,0.3945,0.0393,0.0041,0.0042,35911,6965,0.6241,0.3201,0.6921,10.6,10250,29.15999985,43973.5,7.260000229,37600
Indiana State University,Public,Great Lakes,Small City,0.8306,19,910,10173,0.6728,0.1821,0.0348,0.011,0.0024,19549,7071,0.4344,0.4159,0.1549,10.7,11726.5,21.93000031,52313,7.659999847,33100
Indiana University of Pennsylvania-Main Campus,Public,Mid-Atlantic,Distant Town,0.9049,20,973,12405,0.7824,0.1047,0.0307,0.0094,0.0009,22936,9088,0.362,0.5119,0.064,8.8,20500,20.34000015,63430,7.800000191,35300
Indiana University-Bloomington,Public,Great Lakes,Small City,0.7217,27,1198,31984,0.7313,0.0406,0.0438,0.0384,0.0012,23043,9431,0.1937,0.7705,0.0299,5.9,19500,20.26000023,80326,5.5,42000
Indiana University-East,Public,Great Lakes,Fringe Rural,0.5381,21,943,3132,0.8924,0.0358,0.0236,0.0067,0.0019,15334,5755,0.3606,0.2348,0.3722,21,13336,25.76000023,33572,7.159999847,27600
Indiana University-Kokomo,Public,Great Lakes,Small City,0.7355,21,950,2708,0.8394,0.0403,0.0421,0.0092,0.0033,15874,5680,0.3195,0.2756,0.2547,12,12050,25.40999985,42220,5.789999962,33900
Indiana University-Northwest,Public,Great Lakes,Small City,0.7625,20,918,4764,0.5626,0.1982,0.1732,0.0227,0.0023,18092,6557,0.3472,0.259,0.2966,13.9,14950,25.54999924,29342,8.529999733,34100
Indiana University-Purdue University-Fort Wayne,Public,Great Lakes,Large City,0.8309,22,996,9795,0.8205,0.0542,0.0513,0.0218,0.0032,18837,7355,0.3675,0.2594,0.2112,10.9,15517,23.39999962,45905.5,5.690000057,32000
